category,name,name_ar,description,description_ar,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Arts & Entertainment,Game Zone,,,,"Serafi Mega Mall, Tahlia Street | Redsea Mall, King's Road",21563,Jeddah,Al-Qassim ,SA,,,,26.2929636,50.1852735,1,1.jpg,2.jpg,3.jpg
Arts & Entertainment,Tokyo Games,,,,Al Ulaya,34448,Khobar,Al-Qassim ,SA,"info@tokyogames.com
",966 13 899 2823,tokyogames.com,26.2929629,50.1808961,2,1.jpg,2.jpg,3.jpg
Arts & Entertainment,Change Actions Consulting,,,,Al Bandariyah,34424,Khobar,Al-Qassim ,SA,info@changeactions.com​,966 13 330 8578,changeactions.com,26.3088274,50.2094591,3,1.jpg,2.jpg,3.jpg
Arts & Entertainment,Adawliah Music Store,,,,Al Khobar Al Shamalia,34429,Al Khobar,Al-Qassim ,SA,,966 56 296 9548,,26.3122393,50.0495558,4,1.jpg,2.jpg,3.jpg
Arts & Entertainment,ADAWLIAH YAMAHA CENTER,,,,King Khaled Street,34427, Al Shamalia,Al Khobar,SA,,966 13 898 2692,,26.3127187,50.0495548,5,1.jpg,2.jpg,3.jpg
Arts & Entertainment,أنغام الخليج للأدوات الموسيقية,,,,Thuqbah,34623 7955,,Saudi,SA,,966 50 725 1053,,26.3127187,50.0495548,6,1.jpg,2.jpg,3.jpg
Arts & Entertainment,الدولية,,,,Al Ulaya,34446 2218,,Saudi,SA,,966 13 895 4703,adawliah.com,26.3127187,50.0495548,7,1.jpg,2.jpg,3.jpg
Arts & Entertainment,International Company for electronic devices,,,,Prince Abdulelah St,13456,Al Khobar,Saudi,SA,,966 13 864 3601,adawliah.com,26.3127187,50.0495548,8,1.jpg,2.jpg,3.jpg
Arts & Entertainment,The World of Art,,,,Prince Sultan St,34428,,Saudi,SA,,966 13 867 0461,,26.3127187,50.0495548,9,1.jpg,2.jpg,3.jpg
Arts & Entertainment,Virgin Megastore,,,,Az Zahran 34457,34457,Az Zahran,Saudi,SA,,966 13 868 6791,virginmegastore.com.sa,26.3114876,50.0495551,10,1.jpg,2.jpg,3.jpg
Arts & Entertainment,Spectrum Wellness for Women,,,,7984 Firas Ibn Al Nudur St,34447,Al Ulaya,Saudi,SA,,966 55 266 1480,spectrum4women.com,26.2978594,50.1766363,11,1.jpg,2.jpg,3.jpg
