category,name,description,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Arts & Entertainment,The Sultan Gallery Kuwait,,"168 Mubarak Al Kabeer St, Kuwait City",,Mubarak Al Kabeer,Kuwait City,KW,sultangallery1969@gmail.com,965 24714325,http://www.sultangallery.com,29.2271584,47.9367804,1,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Contemporary Art Platform,,2 Shuwaikh Industrial، Kuwait,,Kuwait City,Kuwait City,KW,info@capkuwait.com,965 2492 5636,http://www.capkuwait.com/,29.3229222,47.884818,2,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Visual Therapy Gallery,,"5 St, Shuwaikh Industrial, Kuwait",,Kuwait City,Kuwait City,KW,contact@visualtherapyonline.com,,https://www.visualtherapy.art/,29.3414667,47.8680164,3,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Cozmo Entertainment,,"Abdulla Al Mubarak St, Kuwait City, Kuwait",,Kuwait City,Kuwait City,KW,info@cozmogroup.com,965 2574 4975,www.cozmogroup.com,29.3598856,47.9124046,4,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Future Kid Entertainment,,"Kuwait Free Trade Zone, Kuwait",,Kuwait City,Kuwait City,KW,hananaly@futurekid.com,965 2461 0045,https://www.futurekid.com.kw/Home,29.3509646,47.8386116,5,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Kuwait Clue,,"Salem Al Mubarak St, Salmiya, Kuwait",,Salmiya,Kuwait City,KW,INFO@KUWAITCLUE.COM,965 9987 5912,http://kuwaitclue.com/,29.3431016,48.0095331,6,1.jgp,2.jgp,3.jpg
Arts & Entertainment,TeamEscape Kuwait,,"Salmiya, Kuwait",,Salmiya,Kuwait City,KW,kuwait@teamescape.com,965 550 64422,https://teamescape.com,29.3458278,48.0144918,7,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Trapped Inn symphony complex,,"Salmiya, Kuwait",,Salmiya,Kuwait City,KW,contact@trappedinn.com,965 2577 0518,http://www.trappedinn.com,29.3458234,48.014708,8,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Crafts and More,,"Eqaila, Kuwait",,Kuwait City,Kuwait City,KW,Info.craftsandmorekw@gmail.com,965 511 20069,https://www.craftsandmorekw.com,29.1743166,48.0247031,9,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Darat Safeya Bizagr,,"ing Abdullah Branch Rd, Al-Baghdadiyah Al-Gharbiyah, Jeddah 22234, Saudi Arabia",,Jeddah,Jeddah,SA,daratsb@daratsb.com,966 2 657 1030,http://daratsb.com,21.5099404,39.1109299,10,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Naila Art Gallery,,"Said Ibn Khalid, Al Mathar Ash Shamali, Riyadh , Saudi Arabia",12334,Riyadh,Riyadh,SA,info@gallerynaila.com,966 11 880 5352,http://www.gallerynaila.com,24.7020279,46.5963141,11,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Hafez Gallery,,"6559 King Abdul Aziz Rd, AZ Zahra District, حي الزهراء, Jeddah 23424, Saudi Arabia",,Jeddah,Jeddah,SA,info@hafezgallery.com,966 55 551 7000,https://www.hafezgallery.com,21.5770038,39.0575583,12,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Jameel House of Traditional Arts Jeddah,,"Al Dhahab, Al-Balad, Jeddah 22236, Saudi Arabia",,Jeddah,Jeddah,SA,hta@artjameel.org,966 6603177,https://artjameel.org/heritage/jeddah/,21.4846123,39.1173049,13,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Escape Arabia,,"2 wadi moora Al Worood, Riyadh Saudi Arabia",,Riyadh,Riyadh,SA,customer.service@escape-arabia.com,966 11 215 3477,http://escape-arabia.com/,24.719568,46.6181054,14,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Way Out Kuwait,,"Baitak Tower, Ahmad Al Jaber St,Kuwait City",,Kuwait City,Kuwait City,KW,info@wayoutkwt.com,965 9878 8203,http://wayoutkwt.com/,29.3716337,47.9046828,15,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Giants Gaming Lounge,,"Khaitan, Kuwait",,Kuwait City,Kuwait City,KW,info@giantsgl.com,965 2229 9200,http://www.giantsgl.com/,29.295209,47.8961504,16,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Sirbb Circuit,,"Shuwaikh Industrial Area 1, Block 1, Street 11",,Kuwait City,Kuwait City,KW,social@sirbbcircuit.com,965 2227 4722,http://sirbbcircuit.com,29.3388442,47.8742957,17,1.jgp,2.jgp,3.jpg
Arts & Entertainment,The Escape Hunt Experience Kuwait,,"Al-Bidea (Mövenpick Hotel & Resort), Al-Ta’awen Street, Kuwait",,Kuwait City,Kuwait City,KW,dubai@escapehunt.com,965 9002 2644,https://kuwait.escapehunt.com/,29.3138747,48.0364337,18,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Wejha Arts,,"1 St, Salmiya, Kuwait",,Salmiya,Kuwait City,KW,info@wejha.com,965 9986 8433,http://wejha.com/,29.3500762,48.0263341,19,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Kuwait Magic,,"Coastal Rd. Abu Halifa, KW",,Kuwait City,Kuwait City,KW,info@aatgkwt.com,965 2372 1218,http://www.aatgkwt.com,29.1338498,48.0619795,20,1.jgp,2.jgp,3.jpg
Arts & Entertainment,My Toy Co RC Race Car Circuit,," Al Tilal Complex - M12, Pepsi Street, Shuwaikh, Kuwait",,Shuwaikh,Kuwait City,KW,info@mytoyco.com,965 2225 6707,http://www.mytoyco.com,29.3396324,47.8703542,21,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Hamar Hobby Shuwaikh,,"Bank Street, Shuwaikh kuwait 13020, Kuwait",,Shuwaikh,Kuwait City,KW,info@alhamar-hobby.com,965 2483 1083,http://www.alhamar-hobby.com,29.3290113,47.8812099,22,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Toys R Us,,"4th Ring Road,Block B Next to Sultan Centre,
Kuwait",,Kuwait City,Kuwait City,KW,info@toysrus.me,965 2492 2266,https://www.toysrusmena.com/,29.3030687,47.8605938,23,1.jgp,2.jgp,3.jpg
Arts & Entertainment,WebTech,,"Fahad Al-Salem Street, Kuwait City, Kuwait",,Kuwait City,Kuwait City,KW,marketing@webtech-kw.com,965 - 22408484 ,http://webtech-kw.com,29.3665584,47.8976189,24,1.jgp,2.jgp,3.jpg
Arts & Entertainment,International Air Travel & Tourism,,"Prince Saad St, Unit 21, Wasel 6862, Amir Musad,Prince Saad St, 7th Cross, Al Khobar 34427 Kingdom of Saudi Arabia، Al Khobar",34427,Al Khobar,Al Khobar,SA,info@airtravel.com.sa,966 13 898 0966,https://www.airtravel.com.sa/,26.2868779,50.1471969,25,1.jgp,2.jgp,3.jpg
