category,name,name_ar,description,description_ar,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Education,Al Moattasem International School,,,,"Dhahran Jubail Expy, Al Jubail 35518, Saudi Arabia",,Jubail,Saudi,SA,info@almoattasemschool.com,966 59 965 0334,http://www.almoattasemschool.com,26.965283,49.5775037,1,1.jpg,2.jpg,3.jpg
Education,Mariya International Schools,,,,"Al Jubail 31951, Saudi Arabia",,Jubail,Saudi,SA,info@mariyaschools.com,966 13 344 5055,https://www.mariyaschools.com,26.9934312,49.5549678,2,1.jpg,2.jpg,3.jpg
Education,Dunes International School Al Jubail,,,,"6927, Al Jubail 35518 3407, Saudi Arabia",,Jubail,Saudi,SA,info@dunesschool.net,966 55 915 9581,http://www.dunesschooljubail.net,26.9670426,49.5775659,3,1.jpg,2.jpg,3.jpg
Professional Services,DROUP AL-JUBAIL UNDERTAKING EST.,,,,"Prince Mashhoor Road Prince Mashhoor Road, Jubail City Center, Al Jubail 35514 3545, Saudi Arabia",,Jubail,Saudi,SA,info@droups.com,966 13 361 1317,http://www.droups.com/,27.0133919,49.5780831,4,1.jpg,2.jpg,3.jpg
Professional Services,Darpetro Al Jubail,,,,"Al Jubail 35525, Saudi Arabia",,Jubail,Saudi,SA,info@darpetro.com,,http://darpetro.com/,26.9968301,49.5537025,5,1.jpg,2.jpg,3.jpg
Professional Services,International Construction & Manufacturing Services (ICMS),,,,"Al Jubail 35522, Saudi Arabia",,Jubail,Saudi,SA,info@icms.com.sa,966 13 344 8662,www.icms.com.sa,26.948919,49.5942189,6,1.jpg,2.jpg,3.jpg
Professional Services,Green World Group Training Center,,,,"Office # 613, Business Tower #101 King Abdul-Aziz Street, Jubail City, KSA? Jubail City, Saudi arabia Saudi Arabia",,Jubail,Saudi,SA,info.saudi@greenwgroup.com,966 50 574 4304,http://greenworldsaudi.com/,27.0390107,49.3350427,7,1.jpg,2.jpg,3.jpg
Professional Services,Kuwait Institute for Scientific Research (PRC) - Ahmadi,,,,"Ahmadi, Kuwait",,Kuwait City,Kuwait city,KW,webinfo@kisr.edu.kw,(965) 24816302,http://www.kisr.edu.kw/en/,29.0956848,48.0138942,8,1.jpg,2.jpg,3.jpg
Professional Services,Dasman Diabetes Institute,,,,"Jasim Mohamad Al Bahar St, Kuwait City",,Kuwait City,Kuwait city,KW,public.relations@dasmaninstitute.org,965 2224 2999,http://dasmaninstitute.org/,29.3896552,47.9234025,9,1.jpg,2.jpg,3.jpg
Professional Services,Health Care Clinic,,,,"Bneid Al Qar, Kuwait",,Kuwait City,Kuwait city,KW,hcc@hcc.com.kw,965 2251 1522,http://www.hcc.com.kw/,29.3744426,47.9338954,10,1.jpg,2.jpg,3.jpg
