category,name,name_ar,description,description_ar,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Travel & Tourism,Skycom Express Kuwait,,,,"Souq Al Kabeer? Fahad Al-Salem Street, Kuwait City 13033, Kuwait",,Kuwait City,Kuwait City,KW,skycom@skycomexpress.com,965 2240 8709,http://www.skycomexpress.com:9090/skycomexpress/,29.3688857,47.9014997,1,1.jpg,2.jpg,3.jpg
Travel & Tourism,Porter Express,,,,Kuwait City,,Kuwait City,Kuwait City,KW,Hello@porterex.com,965 2221 9335,http://www.porterex.com,29.3611287,47.8942348,2,1.jpg,2.jpg,3.jpg
Travel & Tourism,AL Ethad Health Insurance (Back OF Al Khobar jawajat),,,,"Al Khobar Al Janubiyah, Al Khobar 34611, Saudi Arabia",,Al Khobar,Saudi,SA,info@tui-sa.com,966 9200 06262,http://www.tuci-sa.com/,26.2783974,50.1442524,3,1.jpg,2.jpg,3.jpg
Travel & Tourism,Fawaz Co. Referigeration & Air Conditioning Contraction (LLC),,,,"Saudia Arabia Al khobar King khaled street? 26-27? Al Khobar 31952, Saudi Arabia",,Al Khobar,Saudi,SA,kw.info@fawaz.com,966 13 895 2323,http://www.fawazgroup.com/,26.2994369,50.1467465,4,1.jpg,2.jpg,3.jpg
Travel & Tourism,Mohammad Al-Hilal Air Conditioning Enterprises Est.,,,,"8-9 Prince Talal St, Al Khobar Al Shamalia, P.O. Box No:3225? Al Khobar 34427, Saudi Arabia",,Al Khobar ,Saudi,SA,sales@alhilalhvac.com,966 13 881 0222,http://www.alhilalhvac.com,26.2874462,50.1466819,5,1.jpg,2.jpg,3.jpg
Travel & Tourism,Al Salem Johnson Controls,,,,"Aram Commercial Center? Tariq Bin Ziyad Street, Ar Rakah Al Janubiyah? Ar Rakah Al Janubiyah, Al Khobar 34227, Saudi Arabia",,Al Khobar ,Saudi,SA,,966 13 858 8446,http://www.york.com.sa,26.3525908,50.1365012,6,1.jpg,2.jpg,3.jpg
Travel & Tourism,Polar Solutionans Est.,,,,"5068 30th St, Al Khobar Al Janubiyah, 6595, Al Khobar 34622 6595, Saudi Arabia",,Al Khobar ,Saudi,SA,info@isdossary.com,966 013 864 0084,http://www.isdossary.com/,26.2640745,50.1363116,7,1.jpg,2.jpg,3.jpg
Travel & Tourism,LeanGreen,,,,"Abdulrahman Ad Dakhil 4190 - Ar Rakah Al Janubiyah Dist, Al Khobar 34226, Saudi Arabia",,Al Khobar ,Saudi,SA,ziad.alriyahi@fagc.co,966 13 831 1724,http://fagc.co/,26.3524613,50.1302634,8,1.jpg,2.jpg,3.jpg
Travel & Tourism,Al Awad Company,,,,"Al Khobar Al Shamalia, Al Khobar 34427, Saudi Arabia",,Al Khobar ,Saudi,SA,syam.santhan@alawadcompany.com,966 56 378 9111,http://alawadcompany.com/index.html,26.288033,50.1447014,9,1.jpg,2.jpg,3.jpg
Travel & Tourism,PETRA ENGINEERING IND. Co - Eastern Region,,,,"King Fahd Road, Al Bustan, Al Khobar 34432, Saudi Arabia",,Al Khobar ,Saudi,SA,info@petra-eng.com.jo,966 13 887 2470,https://www.petra-eng.com/,26.3201263,50.1390667,10,1.jpg,2.jpg,3.jpg
