category,name,name_ar,description,description_ar,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Education,Dasman Model School,,,,Bin Misbah Street Block 3 Sharq Kuwait City Al Asimah? Kuwait,,Al Kuwayt,Kuwait City,KW,info@dasmanschool.com.kw,965 2227 7377,http://dbs.edu.kw/,29.3879885,47.9221641,1,1.jpeg,2.jpg,3.jpg
Education,American School of Kuwait,,,,Kuwait,,Kuwait City,Kuwait City,KW,info@ask.edu.kw,965 2266 4341,http://www.ask.edu.kw/,29.3312186,47.9643887,2,1.jpg,2.png,3.jpg
Education,Kuwait National English School,,,,"1 Mousa Bin Nussair St, Hawally 44273, Kuwait",,Hawally,Kuwait City,KW,knes@knes.edu.kw,965 2265 6904,https://www.knes.edu.kw/,29.3383697,47.9416718,3,1.jpg,2.jpg,3.jpg
Education,Kuwait Flight Academy,,,,"Kuwait Building, Fahad Al-Salem Street, Kuwait City, Kuwait",,Kuwait City,Kuwait City,KW,info@kuwaitflightacademy.com,965 9696 9443,http://www.kuwaitflightacademy.com/,29.3670737,47.8970168,4,1.jpg,2.jpg,3.jpg
Education,American Baccalaureate School,,,,"Block 6? 59 Ibn Zuhair Street? Khaitan, Kuwait",,Khaitan,Kuwait City,KW,info@abs.edu.kw,965 2479 1791,https://www.abs.edu.kw/,29.286442,47.9052945,5,1.jpg,2.jpg,3.jpg
Education,New Horizons,,,,"Ahmad Al Jaber St, Kuwait City, Kuwait",,Al Jaber,Kuwait City,KW,courses.kuwait@newhorizons.com,965 2224 0190,https://www.newhorizons.com.kw,29.3813353,47.9150314,6,1.jpg,2.jpg,3.jpg
Education,The Universal American School,,,,"Nasser Al Roumi St, Hawally, Kuwait",,Hawally,Kuwait City,KW,eagles@uas.edu.kw,965 1822 827,http://www.uas.edu.kw,29.3423891,47.9372257,7,1.jpg,2.jpg,3.jpg
Education,Al Muthana Nursery,,,,"Fahad Al-Salem Street, Kuwait City, Kuwait",,Kuwait City,Kuwait City,KW,,965 555 62728,http://www.almuthana-nursery.com,29.3659962,47.8969121,8,1.jpg,2.jpg,3.jpg
Education,TestprepKart - Kuwait City,,,,"129 St, Kuwait City, Kuwait",,Kuwait City,Kuwait City,KW,info@testprepkart.com,088001 23492,https://www.testprepkart.com/,29.3814925,47.9181756,9,1.jpg,2.jpg,3.jpg
Education,MSM-Kuwait,,,,"Salem Al Jumaian St, Kuwait City, Kuwait",,Kuwait City,Kuwait City,KW,info@msm-kuwait.com,965 2251 7091,http://www.msm-kuwait.com/,29.3603793,47.9299766,10,1.jpg,2.jpg,3.jpg
Education,Gulf English School of Kuwait,,,,"Salmiya, Kuwait",,Salmiya,Kuwait City,KW,info@ges.edu.kw,965 2575 7022,https://www.ges.edu.kw/,29.3404497,48.0072067,11,1.jpg,2.jpg,3.jpg
Education,Indian Educational School,,,,"Salmiya, Kuwait",,Salmiya,Kuwait City,KW,webmaster@ipskuwait.com,965 2563 0249,http://www.ipskwt.com,29.3263785,47.983884,12,1.jpg,2.jpg,3.jpg
Education,AlGhanim Bilingual School,,,,"288 Al-Mutanabi street? Salwa, Kuwait",,Hawally,Kuwait City,KW,info@gbs.edu.kw,965 2566 2541,http://www.gbs.edu.kw,29.3004917,47.9975228,13,1.jpg,2.jpg,3.jpg
